,Time,1
S/N,,759293
Type,,TGPR-1201
Description,,id14
Property,,Count
1,2019-07-22 02:40:00,0.0 per Logging Interval
2,2019-07-22 02:45:00,0.0 per Logging Interval
3,2019-07-22 02:50:00,0.0 per Logging Interval
4,2019-07-22 02:55:00,0.0 per Logging Interval
5,2019-07-22 03:00:00,0.0 per Logging Interval
6,2019-07-22 03:05:00,0.0 per Logging Interval
7,2019-07-22 03:10:00,0.0 per Logging Interval
8,2019-07-22 03:15:00,0.0 per Logging Interval
9,2019-07-22 03:20:00,0.0 per Logging Interval
10,2019-07-22 03:25:00,0.0 per Logging Interval
11,2019-07-22 03:30:00,0.0 per Logging Interval
12,2019-07-22 03:35:00,0.0 per Logging Interval
13,2019-07-22 03:40:00,0.0 per Logging Interval
14,2019-07-22 03:45:00,0.0 per Logging Interval
15,2019-07-22 03:50:00,0.0 per Logging Interval
16,2019-07-22 03:55:00,0.0 per Logging Interval
17,2019-07-22 04:00:00,1.0 per Logging Interval
18,2019-07-22 04:05:00,0.0 per Logging Interval
19,2019-07-22 04:10:00,0.0 per Logging Interval
20,2019-07-22 04:15:00,0.0 per Logging Interval
21,2019-07-22 04:20:00,0.0 per Logging Interval
22,2019-07-22 04:25:00,0.0 per Logging Interval
23,2019-07-22 04:30:00,1.0 per Logging Interval
24,2019-07-22 04:35:00,0.0 per Logging Interval
25,2019-07-22 04:40:00,0.0 per Logging Interval
26,2019-07-22 04:45:00,0.0 per Logging Interval
27,2019-07-22 04:50:00,0.0 per Logging Interval
28,2019-07-22 04:55:00,0.0 per Logging Interval
29,2019-07-22 05:00:00,1.0 per Logging Interval
30,2019-07-22 05:05:00,0.0 per Logging Interval
31,2019-07-22 05:10:00,0.0 per Logging Interval
32,2019-07-22 05:15:00,0.0 per Logging Interval
33,2019-07-22 05:20:00,0.0 per Logging Interval
34,2019-07-22 05:25:00,0.0 per Logging Interval
35,2019-07-22 05:30:00,0.0 per Logging Interval
36,2019-07-22 05:35:00,1.0 per Logging Interval
37,2019-07-22 05:40:00,0.0 per Logging Interval
38,2019-07-22 05:45:00,0.0 per Logging Interval
39,2019-07-22 05:50:00,1.0 per Logging Interval
40,2019-07-22 05:55:00,0.0 per Logging Interval
41,2019-07-22 06:00:00,0.0 per Logging Interval
42,2019-07-22 06:05:00,0.0 per Logging Interval
43,2019-07-22 06:10:00,0.0 per Logging Interval
44,2019-07-22 06:15:00,0.0 per Logging Interval
45,2019-07-22 06:20:00,0.0 per Logging Interval
46,2019-07-22 06:25:00,1.0 per Logging Interval
47,2019-07-22 06:30:00,1.0 per Logging Interval
48,2019-07-22 06:35:00,2.0 per Logging Interval
49,2019-07-22 06:40:00,1.0 per Logging Interval
50,2019-07-22 06:45:00,0.0 per Logging Interval
51,2019-07-22 06:50:00,1.0 per Logging Interval
52,2019-07-22 06:55:00,0.0 per Logging Interval
53,2019-07-22 07:00:00,0.0 per Logging Interval
54,2019-07-22 07:05:00,1.0 per Logging Interval
55,2019-07-22 07:10:00,0.0 per Logging Interval
56,2019-07-22 07:15:00,0.0 per Logging Interval
57,2019-07-22 07:20:00,1.0 per Logging Interval
58,2019-07-22 07:25:00,0.0 per Logging Interval
59,2019-07-22 07:30:00,0.0 per Logging Interval
60,2019-07-22 07:35:00,1.0 per Logging Interval
61,2019-07-22 07:40:00,1.0 per Logging Interval
62,2019-07-22 07:45:00,0.0 per Logging Interval
63,2019-07-22 07:50:00,0.0 per Logging Interval
64,2019-07-22 07:55:00,0.0 per Logging Interval
65,2019-07-22 08:00:00,0.0 per Logging Interval
66,2019-07-22 08:05:00,0.0 per Logging Interval
67,2019-07-22 08:10:00,3.0 per Logging Interval
68,2019-07-22 08:15:00,3.0 per Logging Interval
69,2019-07-22 08:20:00,2.0 per Logging Interval
70,2019-07-22 08:25:00,3.0 per Logging Interval
71,2019-07-22 08:30:00,1.0 per Logging Interval
72,2019-07-22 08:35:00,0.0 per Logging Interval
73,2019-07-22 08:40:00,0.0 per Logging Interval
74,2019-07-22 08:45:00,0.0 per Logging Interval
75,2019-07-22 08:50:00,0.0 per Logging Interval
76,2019-07-22 08:55:00,0.0 per Logging Interval
77,2019-07-22 09:00:00,0.0 per Logging Interval
78,2019-07-22 09:05:00,0.0 per Logging Interval
79,2019-07-22 09:10:00,0.0 per Logging Interval
80,2019-07-22 09:15:00,0.0 per Logging Interval
81,2019-07-22 09:20:00,0.0 per Logging Interval
82,2019-07-22 09:25:00,0.0 per Logging Interval
83,2019-07-22 09:30:00,0.0 per Logging Interval
84,2019-07-22 09:35:00,0.0 per Logging Interval
85,2019-07-22 09:40:00,0.0 per Logging Interval
86,2019-07-22 09:45:00,0.0 per Logging Interval
