,Time,1
S/N,,759293
Type,,TGPR-1201
Description,,id14
Property,,Count
1,2018-11-08 09:15:00,0.0 per Logging Interval
2,2018-11-08 09:20:00,0.0 per Logging Interval
3,2018-11-08 09:25:00,0.0 per Logging Interval
4,2018-11-08 09:30:00,0.0 per Logging Interval
5,2018-11-08 09:35:00,0.0 per Logging Interval
6,2018-11-08 09:40:00,0.0 per Logging Interval
7,2018-11-08 09:45:00,0.0 per Logging Interval
8,2018-11-08 09:50:00,0.0 per Logging Interval
9,2018-11-08 09:55:00,0.0 per Logging Interval
10,2018-11-08 10:00:00,0.0 per Logging Interval
11,2018-11-08 10:05:00,0.0 per Logging Interval
12,2018-11-08 10:10:00,0.0 per Logging Interval
13,2018-11-08 10:15:00,0.0 per Logging Interval
14,2018-11-08 10:20:00,0.0 per Logging Interval
15,2018-11-08 10:25:00,0.0 per Logging Interval
16,2018-11-08 10:30:00,0.0 per Logging Interval
17,2018-11-08 10:35:00,0.0 per Logging Interval
18,2018-11-08 10:40:00,0.0 per Logging Interval
19,2018-11-08 10:45:00,0.0 per Logging Interval
20,2018-11-08 10:50:00,0.0 per Logging Interval
21,2018-11-08 10:55:00,0.0 per Logging Interval
22,2018-11-08 11:00:00,0.0 per Logging Interval
23,2018-11-08 11:05:00,0.0 per Logging Interval
24,2018-11-08 11:10:00,0.0 per Logging Interval
25,2018-11-08 11:15:00,0.0 per Logging Interval
26,2018-11-08 11:20:00,0.0 per Logging Interval
27,2018-11-08 11:25:00,0.0 per Logging Interval
28,2018-11-08 11:30:00,0.0 per Logging Interval
29,2018-11-08 11:35:00,0.0 per Logging Interval
30,2018-11-08 11:40:00,0.0 per Logging Interval
31,2018-11-08 11:45:00,0.0 per Logging Interval
32,2018-11-08 11:50:00,0.0 per Logging Interval
33,2018-11-08 11:55:00,0.0 per Logging Interval
34,2018-11-08 12:00:00,0.0 per Logging Interval
35,2018-11-08 12:05:00,0.0 per Logging Interval
36,2018-11-08 12:10:00,0.0 per Logging Interval
37,2018-11-08 12:15:00,0.0 per Logging Interval
38,2018-11-08 12:20:00,0.0 per Logging Interval
39,2018-11-08 12:25:00,0.0 per Logging Interval
40,2018-11-08 12:30:00,0.0 per Logging Interval
41,2018-11-08 12:35:00,0.0 per Logging Interval
42,2018-11-08 12:40:00,0.0 per Logging Interval
43,2018-11-08 12:45:00,0.0 per Logging Interval
44,2018-11-08 12:50:00,0.0 per Logging Interval
45,2018-11-08 12:55:00,0.0 per Logging Interval
46,2018-11-08 13:00:00,0.0 per Logging Interval
47,2018-11-08 13:05:00,0.0 per Logging Interval
48,2018-11-08 13:10:00,0.0 per Logging Interval
49,2018-11-08 13:15:00,0.0 per Logging Interval
50,2018-11-08 13:20:00,0.0 per Logging Interval
51,2018-11-08 13:25:00,0.0 per Logging Interval
52,2018-11-08 13:30:00,0.0 per Logging Interval
53,2018-11-08 13:35:00,0.0 per Logging Interval
54,2018-11-08 13:40:00,0.0 per Logging Interval
55,2018-11-08 13:45:00,0.0 per Logging Interval
56,2018-11-08 13:50:00,0.0 per Logging Interval
57,2018-11-08 13:55:00,0.0 per Logging Interval
58,2018-11-08 14:00:00,0.0 per Logging Interval
59,2018-11-08 14:05:00,0.0 per Logging Interval
60,2018-11-08 14:10:00,0.0 per Logging Interval
61,2018-11-08 14:15:00,0.0 per Logging Interval
62,2018-11-08 14:20:00,0.0 per Logging Interval
63,2018-11-08 14:25:00,0.0 per Logging Interval
64,2018-11-08 14:30:00,0.0 per Logging Interval
65,2018-11-08 14:35:00,0.0 per Logging Interval
66,2018-11-08 14:40:00,0.0 per Logging Interval
67,2018-11-08 14:45:00,0.0 per Logging Interval
68,2018-11-08 14:50:00,0.0 per Logging Interval
69,2018-11-08 14:55:00,0.0 per Logging Interval
70,2018-11-08 15:00:00,0.0 per Logging Interval
71,2018-11-08 15:05:00,0.0 per Logging Interval
72,2018-11-08 15:10:00,0.0 per Logging Interval
73,2018-11-08 15:15:00,0.0 per Logging Interval
74,2018-11-08 15:20:00,0.0 per Logging Interval
75,2018-11-08 15:25:00,0.0 per Logging Interval
76,2018-11-08 15:30:00,0.0 per Logging Interval
77,2018-11-08 15:35:00,0.0 per Logging Interval
78,2018-11-08 15:40:00,0.0 per Logging Interval
79,2018-11-08 15:45:00,0.0 per Logging Interval
80,2018-11-08 15:50:00,0.0 per Logging Interval
81,2018-11-08 15:55:00,0.0 per Logging Interval
82,2018-11-08 16:00:00,0.0 per Logging Interval
83,2018-11-08 16:05:00,0.0 per Logging Interval
84,2018-11-08 16:10:00,0.0 per Logging Interval
85,2018-11-08 16:15:00,0.0 per Logging Interval
86,2018-11-08 16:20:00,0.0 per Logging Interval
